,0,1,2,3,4,5,6,7,8,9,10,11
assignment3/data/midi/bach/aof/can1.mid,0.064,0.058,0.174,0.026,0.11,0.081,0.035,0.146,0.019,0.171,0.071,0.045
assignment3/data/midi/bach/aof/can2.mid,0.059,0.07,0.175,0.001,0.149,0.132,0.008,0.105,0.041,0.165,0.046,0.049
assignment3/data/midi/bach/aof/can3.mid,0.102,0.046,0.153,0.007,0.13,0.149,0.003,0.117,0.005,0.181,0.088,0.018
assignment3/data/midi/bach/aof/can4.mid,0.061,0.062,0.161,0.003,0.14,0.144,0.01,0.098,0.018,0.178,0.078,0.047
assignment3/data/midi/bach/aof/cnt1.mid,0.092,0.035,0.194,0.017,0.089,0.15,0.019,0.114,0.007,0.174,0.09,0.018
assignment3/data/midi/bach/aof/cnt2.mid,0.088,0.031,0.196,0.013,0.089,0.16,0.012,0.119,0.004,0.179,0.099,0.011
assignment3/data/midi/bach/aof/cnt3.mid,0.08,0.039,0.199,0.02,0.086,0.157,0.019,0.116,0.006,0.172,0.089,0.016
assignment3/data/midi/bach/aof/dou1.mid,0.092,0.037,0.17,0.014,0.115,0.127,0.021,0.11,0.019,0.168,0.085,0.041
assignment3/data/midi/bach/aof/dou2.mid,0.096,0.032,0.169,0.018,0.107,0.15,0.018,0.115,0.007,0.175,0.096,0.018
assignment3/data/midi/bach/aof/inver1.mid,0.097,0.046,0.185,0.015,0.104,0.097,0.035,0.114,0.022,0.167,0.07,0.049
assignment3/data/midi/bach/aof/inver2.mid,0.1,0.029,0.165,0.023,0.11,0.119,0.029,0.118,0.022,0.167,0.081,0.039
assignment3/data/midi/bach/aof/mir1.mid,0.069,0.034,0.205,0.023,0.094,0.136,0.015,0.114,0.006,0.201,0.083,0.019
assignment3/data/midi/bach/aof/mir2.mid,0.086,0.035,0.165,0.016,0.118,0.138,0.021,0.126,0.008,0.166,0.096,0.024
assignment3/data/midi/bach/aof/reg1.mid,0.079,0.042,0.203,0.007,0.107,0.106,0.021,0.105,0.017,0.209,0.071,0.036
assignment3/data/midi/bach/aof/reg2.mid,0.084,0.042,0.182,0.013,0.118,0.121,0.019,0.092,0.026,0.184,0.083,0.035
assignment3/data/midi/bach/aof/tri1.mid,0.102,0.036,0.167,0.022,0.102,0.109,0.028,0.132,0.019,0.156,0.081,0.046
assignment3/data/midi/bach/aof/tri2.mid,0.078,0.046,0.15,0.029,0.127,0.107,0.037,0.116,0.029,0.164,0.063,0.056
assignment3/data/midi/bach/aof/unfin.mid,0.102,0.029,0.176,0.035,0.089,0.105,0.026,0.137,0.014,0.171,0.084,0.031
